ar_id|company_id|ar_date|ar_reminderdate|ar_submissiondate|ar_status|ar_fileddate
1251|95|15/04/2018|01/03/2018|15/05/2018|t|03/05/2018
421|37|18/03/2013|01/02/2013|17/04/2013|t|18/03/2013
184|24|23/01/2004|01/12/2003|22/02/2004|t|23/01/2004
186|24|31/03/2005|01/02/2005|30/04/2005|t|31/03/2005
194|24|31/03/2009|01/02/2009|30/04/2009|t|31/03/2009
188|24|31/03/2006|01/02/2006|30/04/2006|t|31/03/2006
196|24|31/03/2010|01/02/2010|30/04/2010|t|31/03/2010
423|37|18/06/2014|01/05/2014|18/07/2014|t|18/06/2014
198|24|31/03/2011|01/02/2011|30/04/2011|t|31/03/2011
200|24|24/03/2012|01/02/2012|23/04/2012|t|24/03/2012
425|37|30/06/2015|01/05/2015|30/07/2015|t|30/06/2015
202|24|31/12/2013|01/11/2013|30/01/2014|t|31/12/2013
204|24|24/07/2017|01/06/2017|23/08/2017|t|24/07/2017
205|24|24/07/2018|01/06/2018|23/08/2018|f|
427|37|30/06/2016|01/05/2016|30/07/2016|t|30/06/2016
207|25|30/06/2009|01/05/2009|30/07/2009|t|30/06/2009
209|25|30/06/2010|01/05/2010|30/07/2010|t|30/06/2010
892|59|25/08/2016|01/07/2016|24/09/2016|t|25/08/2016
211|25|30/06/2011|01/05/2011|30/07/2011|t|30/06/2011
213|25|30/06/2012|01/05/2012|30/07/2012|t|30/06/2012
215|25|30/06/2013|01/05/2013|30/07/2013|t|30/06/2013
896|62|13/01/2018|01/12/2017|12/02/2018|f|
217|25|30/06/2014|01/05/2014|30/07/2014|t|30/06/2014
295|14|22/10/2017|01/09/2017|21/11/2017|t|28/11/2017
219|25|30/06/2015|01/05/2015|30/07/2015|t|30/06/2015
232|25|02/01/2018|01/12/2017|01/02/2018|t|18/01/2018
221|25|30/06/2016|01/05/2016|30/07/2016|t|30/06/2016
905|63|30/06/2018|01/05/2018|30/07/2018|f|
225|26|20/10/2017|01/09/2017|19/11/2017|f|
227|27|21/03/2001|01/02/2001|20/04/2001|t|21/03/2001
452|38|03/03/2017|01/02/2017|02/04/2017|t|03/03/2017
229|27|29/06/2002|01/05/2002|29/07/2002|t|29/06/2002
231|27|30/06/2003|01/05/2003|30/07/2003|t|30/06/2003
233|27|30/06/2004|01/05/2004|30/07/2004|t|30/06/2004
235|27|30/06/2005|01/05/2005|30/07/2005|t|30/06/2005
237|27|30/06/2006|01/05/2006|30/07/2006|t|30/06/2006
239|27|30/06/2007|01/05/2007|30/07/2007|t|30/06/2007
241|27|30/06/2008|01/05/2008|30/07/2008|t|30/06/2008
243|27|30/06/2009|01/05/2009|30/07/2009|t|30/06/2009
245|27|30/06/2010|01/05/2010|30/07/2010|t|30/06/2010
247|27|30/06/2011|01/05/2011|30/07/2011|t|30/06/2011
249|27|30/06/2012|01/05/2012|30/07/2012|t|30/06/2012
251|27|30/06/2013|01/05/2013|30/07/2013|t|30/06/2013
478|39|02/06/2018|01/05/2018|02/07/2018|f|
253|27|30/06/2014|01/05/2014|30/07/2014|t|30/06/2014
255|27|30/06/2015|01/05/2015|30/07/2015|t|30/06/2015
258|28|11/05/2009|01/04/2009|10/06/2009|t|11/05/2009
480|40|05/02/1998|01/01/1998|07/03/1998|t|05/02/1998
260|28|30/06/2010|01/05/2010|30/07/2010|t|30/06/2010
262|28|30/06/2011|01/05/2011|30/07/2011|t|30/06/2011
482|40|04/05/1999|01/04/1999|03/06/1999|t|04/05/1999
264|28|30/06/2012|01/05/2012|30/07/2012|t|30/06/2012
266|28|28/06/2013|01/05/2013|28/07/2013|t|28/06/2013
484|40|30/06/2000|01/05/2000|30/07/2000|t|30/06/2000
268|28|30/06/2014|01/05/2014|30/07/2014|t|30/06/2014
270|28|30/06/2015|01/05/2015|30/07/2015|t|30/06/2015
486|40|30/06/2001|01/05/2001|30/07/2001|t|30/06/2001
272|28|30/06/2016|01/05/2016|30/07/2016|t|30/06/2016
274|28|01/04/2017|01/03/2017|01/05/2017|t|01/04/2017
488|40|29/06/2002|01/05/2002|29/07/2002|t|29/06/2002
277|29|20/05/2014|01/04/2014|19/06/2014|t|20/05/2014
279|29|30/06/2015|01/05/2015|30/07/2015|t|30/06/2015
281|29|30/06/2016|01/05/2016|30/07/2016|t|30/06/2016
283|29|30/06/2017|01/05/2017|30/07/2017|t|30/06/2017
286|30|15/11/1997|01/10/1997|15/12/1997|t|15/11/1997
288|30|31/12/1998|01/11/1998|30/01/1999|t|31/12/1998
290|30|31/12/1999|01/11/1999|30/01/2000|t|31/12/1999
