payment_id|company_id|payment_date|payment_taxrate|payment_amount|payment_calculatedtax|payment_total|payment_method|payment_remark|payment_confirmed|payment_cancelationreason|payment_createdby|mode_map|issue_bank|issue_date|issue_location|issue_refno|payment_no
390|12|13/04/2018|6|135|8.1|143.1|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|12/04/2018|Local|133046|22108
391|657|13/04/2018|6|1037.43|53.25|1090.68|Transfer||t||2|RHB Bank Berhad|||||22109
392|719|16/04/2018|6|1043.4|56.6|1100|Cheque||t||2|RHB Bank Berhad|Hong Leong Bank Berhad|27/02/2018|Local|666733|22110
393|180|16/04/2018|6|1043.4|56.6|1100|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|16/04/2018|Local|58764|22111
394|295|16/04/2018|6|100|6|106|Cheque||t||2|RHB Bank Berhad|Hong Leong Bank Berhad|26/02/2018|Local|346978|22113
395|665|16/04/2018|6|1403|68.4|1471.4|Transfer||t||2|RHB Bank Berhad|||||22114
396|204|16/04/2018|6|640.38|33.62|674|Transfer||t||2|RHB Bank Berhad|||||22115
397|470|16/04/2018|6|640.38|33.62|674|Cheque||t||2|RHB Bank Berhad|Affin Bank Berhad|17/04/2018|Local||22116
398|328|16/04/2018|6|670.38|35.42|705.8|Transfer||t||2|RHB Bank Berhad|||||22117
399|43|17/04/2018|6|332.5|19.95|352.45|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|13/04/2018|Local|455427|22118
400|287|17/04/2018|6|1050|49.2|1099.2|Cheque||t||2|RHB Bank Berhad|RHB Bank Berhad|13/04/2018|Local|971677|22119
401|541|17/04/2018|6|840|50.4|890.4|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|29/03/2018|Local|462035|22120
402|35|17/04/2018|6|400|15|415|Cheque||t||2|RHB Bank Berhad|CIMB Bank Berhad|13/04/2018|Local|520317|22121
403|655|18/04/2018|6|400|15|415|Cash||t||2|RHB Bank Berhad|||||22122
404|265|18/04/2018|6|1340|71.4|1411.4|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|31/03/2018|Local|496220|22123
405|273|18/04/2018|6|238.68|11.32|250|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|16/04/2018|Local|7622|22124
406|782|18/04/2018|6|381.4|22.88|404.28|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|02/04/2018|Local|488602|22125
407|813|18/04/2018|6|1110|66.6|1176.6|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|10/04/2018|Local|234918|22127
408|402|18/04/2018|6|110|6.6|116.6|Cheque||t||2|RHB Bank Berhad|CIMB Bank Berhad|18/04/2018|Local|480773|22128
409|513|19/04/2018|6|192|11.52|203.52|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|05/04/2018|Local|400299|22130
410|507|19/04/2018|6|192|11.52|203.52|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|05/04/2018|Local|670067|22131
411|50|19/04/2018|6|608.68|27.52|636.2|Cheque||t||2|RHB Bank Berhad|AmBank (M) Berhad|18/04/2018|Local|979117|22132
412|67|19/04/2018|6|238.68|11.32|250|Cheque||t||2|RHB Bank Berhad|Hong Leong Bank Berhad|20/04/2018|Local|364739|22133
413|310|19/04/2018|6|1045|38.7|1083.7|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|19/04/2018|Local|217682|22134
414|189|19/04/2018|6|1143.6|66.82|1210.42|Cheque||t||2|RHB Bank Berhad|RHB Bank Berhad|18/04/2018|Local|828545|22135
415|188|19/04/2018|6|128|7.68|135.68|Cheque||t||2|RHB Bank Berhad|RHB Bank Berhad|18/04/2018|Local|828545|22136
416|438|19/04/2018|6|1190|66|1256|Transfer||t||2|RHB Bank Berhad|||||22137
417|295|20/04/2018|6|111.04|6.66|117.7|Cheque||t||2|RHB Bank Berhad|Hong Leong Bank Berhad|19/04/2018|Local|347169|22138
418|186|20/04/2018|6|955|57.3|1012.3|Transfer||t||2|RHB Bank Berhad|||||22139
419|253|20/04/2018|6|498|29.7|527.7|Transfer||t||2|RHB Bank Berhad|||||22140
420|406|20/04/2018|6|95|5.7|100.7|Transfer||t||2|RHB Bank Berhad|||||22141
421|531|20/04/2018|6|400|15|415|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|16/04/2018|Local|171618|22142
422|812|20/04/2018|6|2889.62|110.38|3000|Cheque||t||2|RHB Bank Berhad|Hong Leong Bank Berhad|17/04/2018|Local|364738|22143
423|55|20/04/2018|6|400|15|415|Cheque||t||2|RHB Bank Berhad|Hong Leong Bank Berhad|17/04/2018|Local|364738|22144
424|147|20/04/2018|6|554|24.24|578.24|Cheque||t||2|RHB Bank Berhad|Hong Leong Bank Berhad|17/04/2018|Local|364738|22145
425|178|20/04/2018|6|134|8.04|142.04|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|18/04/2018|Local|461367|22146
426|83|20/04/2018|6|134|8.04|142.04|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|17/04/2018|Local|10333|22147
427|183|20/04/2018|6|134|8.04|142.04|Cheque||t||2|RHB Bank Berhad|RHB Bank Berhad|17/04/2018|Local|10333|22148
428|193|20/04/2018|6|134|8.04|142.04|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|17/04/2018|Local|10333|22149
429|165|20/04/2018|6|974|58.44|1032.44|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|17/04/2018|Local|10333|22150
430|133|23/04/2018|6|634|29.04|663.04|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|18/04/2018|Local|282247|22151
431|139|20/04/2018|6|974|58.44|1032.44|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|18/04/2018|Local|428122|22152
432|119|20/04/2018|6|134|8.04|142.04|Cheque||t||2|RHB Bank Berhad|AmBank (M) Berhad|18/04/2018|Local|159232|22153
433|155|20/04/2018|6|205|12.3|217.3|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|18/04/2018|Local|196829|22154
434|157|20/04/2018|6|134|8.04|142.04|Cheque||t||2|RHB Bank Berhad|Affin Bank Berhad|18/04/2018|Local|313086|22155
435|136|20/04/2018|6|134|8.04|142.04|Cheque||t||2|Affin Bank Berhad|Affin Bank Berhad|18/04/2018|Local|269527|22156
436|138|20/04/2018|6|134|8.04|142.04|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|18/04/2018|Local|461431|22157
437|56|18/04/2018|6|134|8.04|142.04|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|18/04/2018|Local|451179|22158
438|2|20/04/2018|6|134|8.04|142.04|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|18/04/2018|Local|454261|22159
439|533|23/04/2018|6|1646|87.96|1733.96|Transfer||t||2|Malayan Banking Berhad (Maybank)|||||22160
440|818|23/04/2018|6|2415.09|84.91|2500|Cash||t||2|RHB Bank Berhad|||||22161
441|41|23/04/2018|6|2341|18.6|2359.6|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|19/04/2018|Local|169491|22162
442|633|23/04/2018|6|400|15|415|Transfer||t||2|RHB Bank Berhad|||||22163
443|345|23/04/2018|6|1240|65.4|1305.4|Cheque||t||2|RHB Bank Berhad|Affin Bank Berhad|24/04/2018|Local||22164
444|738|23/04/2018|6|1114.8|65.09|1179.89|Transfer||t||2|RHB Bank Berhad|||||22165
445|28|24/04/2018|6|400|15|415|Transfer||t||2|RHB Bank Berhad|||||22166
446|559|24/04/2018|6|110|6.6|116.6|Transfer||t||2|RHB Bank Berhad|||||22167
447|816|24/04/2018|6|2415.09|84.91|2500|Transfer||t||2|RHB Bank Berhad|||||22168
448|228|24/04/2018|6|90|5.4|95.4|Transfer||t||2|RHB Bank Berhad|||||22169
449|821|24/04/2018|6|1179|70.74|1249.74|Transfer||t||2|RHB Bank Berhad|||||22170
450|333|24/04/2018|6|350|18|368|Transfer||t||2|RHB Bank Berhad|||||22171
451|353|24/04/2018|6|470|19.2|489.2|Transfer||t||2|RHB Bank Berhad|||||22172
