payment_id|company_id|payment_date|payment_taxrate|payment_amount|payment_calculatedtax|payment_total|payment_method|payment_remark|payment_confirmed|payment_cancelationreason|payment_createdby|mode_map|issue_bank|issue_date|issue_location|issue_refno|payment_no
563|412|21/05/2018|6|1107.02|43.92|1150.94|Cheque||t||2|RHB Bank Berhad|CIMB Bank Berhad|02/05/2018|Local|582281|22291
564|341|21/05/2018|6|883.02|34.98|918|Cheque||t||2|RHB Bank Berhad|CIMB Bank Berhad|21/05/2018|Local|619501|22292
565|697|22/05/2018|6|238.68|11.32|250|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|11/05/2018|Local|334389|22293
567|647|22/05/2018|6|33|1.98|34.98|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|03/05/2018|Local|514|22295
568|101|22/05/2018|6|161.9|8.76|170.66|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|18/05/2018|Local|402330|22296
569|307|22/05/2018|6|455|27.3|482.3|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|22/05/2018|Local|665682|22297
570|660|22/05/2018|6|678|40.68|718.68|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|07/05/2018|Local|168158|22298
571|559|22/05/2018|6|254|15.24|269.24|Transfer||t||2|RHB Bank Berhad|||||22299
572|680|23/05/2018|6|740|23.4|763.4|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|22/05/2018|Local|713571|22300
573|365|23/05/2018|6|840|50.4|890.4|Transfer||t||2|RHB Bank Berhad|||||22301
574|803|23/05/2018|6|81|4.86|85.86|Transfer||t||2|RHB Bank Berhad|||||22303
575|108|23/05/2018|6|578|34.68|612.68|Transfer||t||2|RHB Bank Berhad|||||22304
576|830|23/05/2018|6|65|3.9|68.9|Transfer||t||2|RHB Bank Berhad|||||22305
577|251|23/05/2018|6|890|50.4|940.4|Transfer||t||2|RHB Bank Berhad|||||22306
578|382|23/05/2018|6|238.68|11.32|250|Transfer||t||2|RHB Bank Berhad|||||22307
579|448|23/05/2018|6|50|0|50|Transfer||t||2|RHB Bank Berhad|||||22308
580|456|23/05/2018|6|50|0|50|Transfer||t||2|RHB Bank Berhad|||||22309
581|284|23/05/2018|6|624.06|37.44|661.5|Transfer||t||2|RHB Bank Berhad|||||22310
582|310|24/05/2018|6|639.05|0|639.05|Cash||t||2|RHB Bank Berhad|||||22311
583|367|24/05/2018|6|508|30.48|538.48|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|02/05/2018|Local|615869|22312
584|275|24/05/2018|6|333.68|17.02|350.7|Cheque||t||2|RHB Bank Berhad|Hong Leong Bank Berhad|24/05/2018|Local|169468|22313
585|739|24/05/2018|6|239.55|14.37|253.92|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|17/05/2018|Local|958284|22314
586|130|24/05/2018|6|164|9.84|173.84|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|23/05/2018|Local|669088|22315
587|170|24/05/2018|6|400|15|415|Transfer||t||2|RHB Bank Berhad|||||22316
462|724|25/04/2018|6|1300|69|1369|Cheque||f|WRONG INVOICE|2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|27/04/2018|Local|945774|22175
588|724|25/04/2018|6|460|18.6|478.6|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|25/04/2018|Local|945774|22175
589|25|25/05/2018|6|499.31|28.16|527.47|Transfer||t||2|RHB Bank Berhad|||||22317
590|82|25/05/2018|6|499.31|28.16|527.47|Transfer||t||2|RHB Bank Berhad|||||22318
591|835|25/05/2018|6|2889.62|110.38|3000|Cheque||t||2|RHB Bank Berhad|Hong Leong Bank Berhad|22/05/2018|Local|364743|22319
592|477|25/05/2018|6|1043.4|56.6|1100|Transfer||t||2|RHB Bank Berhad|||||22321
593|198|25/05/2018|6|80|4.8|84.8|Transfer||t||2|Malayan Banking Berhad (Maybank)|||||22322
594|198|25/05/2018|6|89|5.34|94.34|Transfer||t||2|Malayan Banking Berhad (Maybank)|||||22323
595|198|25/05/2018|6|400|15|415|Transfer||t||2|Malayan Banking Berhad (Maybank)|||||22324
596|198|25/05/2018|6|65|3.9|68.9|Transfer||t||2|Malayan Banking Berhad (Maybank)|||||22325
597|338|25/05/2018|6|1250|66|1316|Cheque||t||2|RHB Bank Berhad|Affin Bank Berhad|28/05/2018|Local||22326
598|102|25/05/2018|6|238.68|11.32|250|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|22/05/2018|Local||22327
599|219|25/05/2018|6|858.68|46.72|905.4|Transfer||t||2|RHB Bank Berhad|||||22328
600|815|28/05/2018|6|1535.47|75.33|1610.8|Transfer||t||2|RHB Bank Berhad|||||22329
601|688|28/05/2018|6|50|0|50|Transfer||t||2|RHB Bank Berhad|||||22330
602|386|28/05/2018|6|1430|73.8|1503.8|Transfer||t||2|RHB Bank Berhad|||||22331
603|838|30/05/2018|6|65|3.9|68.9|Transfer||t||2|RHB Bank Berhad|||||22332
604|538|30/05/2018|6|1038|62.28|1100.28|Transfer||t||2|RHB Bank Berhad|||||22333
605|595|30/05/2018|6|1855|100.5|1955.5|Cheque||t||2|RHB Bank Berhad|Hong Leong Bank Berhad|21/05/2018|Local|433558|22334
606|596|30/05/2018|6|1853|100.38|1953.38|Cheque||t||2|RHB Bank Berhad|HSBC Bank Malaysia Berhad|31/05/2018|Local|403886|22335
607|635|30/05/2018|6|510|21.6|531.6|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|23/05/2018|Local|448374|22336
608|186|30/05/2018|6|186.42|10.58|197|Transfer||t||2|RHB Bank Berhad|||||22337
609|186|30/06/2018|6|840|50.4|890.4|Transfer||t||2|RHB Bank Berhad|||||22338
566|807|22/05/2018|6|177.04|10.62|187.66|Transfer||f|Wrong amount|2|RHB Bank Berhad|||||22294
610|228|04/06/2018|6|3303.59|196.41|3500|Cheque||t||2|RHB Bank Berhad|Standard Chartered Bank Malaysia Berhad|25/05/2018|Local|800383|22339
611|367|25/05/2018|6|250|15|265|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|25/05/2018|Local|615877|22340
612|120|31/05/2018|6|238.68|11.32|250|Transfer||t||2|RHB Bank Berhad|||||22341
613|253|31/05/2018|6|400|15|415|Transfer||t||2|RHB Bank Berhad|||||22342
614|17|31/05/2018|6|400|15|415|Transfer||t||2|RHB Bank Berhad|||||22343
615|552|31/05/2018|6|723.68|40.42|764.1|Transfer||t||2|RHB Bank Berhad|||||22344
616|249|31/05/2018|6|400|15|415|Transfer||t||2|RHB Bank Berhad|||||22345
617|763|31/05/2018|6|1628.68|76.72|1705.4|Transfer||t||2|RHB Bank Berhad|||||22346
618|309|31/05/2018|6|675|35.7|710.7|Transfer||t||2|RHB Bank Berhad|||||22347
619|781|31/05/2018|6|1070|50.4|1120.4|Transfer||t||2|RHB Bank Berhad|||||22348
620|784|31/05/2018|6|675|35.7|710.7|Transfer||t||2|RHB Bank Berhad|||||22349
621|742|31/05/2018|6|675|35.7|710.7|Transfer||t||2|RHB Bank Berhad|||||22350
622|245|31/05/2018|6|675|35.7|710.7|Transfer||t||2|RHB Bank Berhad|||||22351
623|272|31/05/2018|6|675|35.7|710.7|Transfer||t||2|RHB Bank Berhad|||||22352
624|339|31/05/2018|6|675|35.7|710.7|Transfer||t||2|RHB Bank Berhad|||||22353
625|355|31/05/2018|6|675|35.7|710.7|Transfer||t||2|RHB Bank Berhad|||||22354
626|447|31/05/2018|6|610|24.6|634.6|Cheque||t||2|RHB Bank Berhad|RHB Bank Berhad|24/05/2018|Local|862379|22355
627|295|31/05/2018|6|480|27|507|Cheque||t||2|RHB Bank Berhad|Hong Leong Bank Berhad|28/05/2018|Local|348367|22356
628|294|31/05/2018|6|690|36.6|726.6|Transfer||t||2|RHB Bank Berhad|||||22357
630|403|31/05/2018|6|1450|75|1525|Cheque||t||2|RHB Bank Berhad|Hong Leong Bank Berhad|28/05/2018|Local|348365|22359
631|671|31/05/2018|6|360|9.6|369.6|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|25/05/2018|Local|737725|22360
632|321|31/05/2018|6|50|3|53|Cheque||t||2|RHB Bank Berhad|RHB Bank Berhad|31/05/2018|Local||22361
633|380|31/05/2018|6|75|4.5|79.5|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|31/05/2018|Local|164149|22362
634|626|31/05/2018|0|0|0|0|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|30/05/2018|Local|23792|22363
635|660|31/05/2018|6|24|0|24|Cheque||t||2|RHB Bank Berhad|Malayan Banking Berhad (Maybank)|31/05/2018|Local|168159|22364
636|136|31/05/2018|6|772.68|34.36|807.04|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|31/05/2018|Local|269528|22365
637|172|31/05/2018|6|1472.68|76.36|1549.04|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|01/06/2018|Local|492979|22366
638|56|31/05/2018|6|772.68|34.36|807.04|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|01/06/2018|Local|451187|22367
639|133|04/06/2018|6|134|8.04|142.04|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|01/06/2018|Local|10515|22368
640|813|04/06/2018|6|134|8.04|142.04|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|01/06/2018|Local|234920|22369
641|119|04/06/2018|6|134|8.04|142.04|Cheque||t||2|RHB Bank Berhad|AmBank (M) Berhad|01/06/2018|Local|159234|22370
642|139|04/06/2018|6|134|8.04|142.04|Transfer||t||2|RHB Bank Berhad|||||22371
643|155|04/06/2018|6|266.2|15.97|282.17|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|01/06/2018|Local|196833|22372
644|138|04/06/2018|6|134|8.04|142.04|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|01/06/2018|Local|461439|22373
645|83|04/06/2018|6|134|8.04|142.04|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|01/06/2018|Local|11556|22374
646|83|04/06/2018|6|229.68|10.78|240.46|Cheque||f|Wrong Company|2|RHB Bank Berhad|Public Bank Berhad|01/06/2018|Local|11556|22375
647|165|04/06/2018|6|134|8.04|142.04|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|01/06/2018|Local|11556|22375
648|183|04/06/2018|6|134|8.04|142.04|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|01/06/2018|Local|11556|22376
649|193|04/06/2018|6|134|8.04|142.04|Cheque||t||2|RHB Bank Berhad|Public Bank Berhad|01/06/2018|Local|11556|22377
650|157|04/06/2018|6|134|8.04|142.04|Cheque||t||2|RHB Bank Berhad|Affin Bank Berhad|01/06/2018|Local|313687|22378
651|748|04/06/2018|6|330|19.8|349.8|Transfer||t||2|RHB Bank Berhad|||||22379
652|740|04/06/2018|6|233.2|13.99|247.19|Transfer||t||2|RHB Bank Berhad|||||22380
629|302|31/05/2018|6|238.68|11.32|250|Cheque||f|Wrong Company|2|RHB Bank Berhad|Hong Leong Bank Berhad|28/05/2018|Local|348368|22358
653|304|31/05/2018|6|238.68|11.32|250|Cheque||t||2|RHB Bank Berhad|Hong Leong Bank Berhad|28/05/2018|Local|348368|22358
654|807|22/05/2018|6|177.04|10.62|187.66|Transfer||t||2|RHB Bank Berhad|||||22294
655|304|22/01/2018|6|840|50.4|890.4|Cheque||t||2|RHB Bank Berhad|Hong Leong Bank Berhad|22/01/2018|Local|346858|21699
