fee_id|company_id|fee_category|fee_type|fee_description|fee_billduration|fee_amount|fee_billto|fee_billingdescription
216|249|SR|Fee|SecFee|12|840|29/05/2018|Secretarial Fee + Registered Office
220|253|SR|Fee|SecFee|12|840|19/08/2018|Secretarial Fee + Registered Office
222|255|SR|Fee|SecFee|12|840|11/06/2018|Secretarial Fee + Registered Office
226|259|SR|Fee|SecFee|12|840|08/09/2018|Secretarial Fee + Registered Office
227|260|SR|Fee|SecFee|12|840|05/09/2018|Secretarial Fee + Registered Office
231|264|SR|Fee|SecFee|12|840|13/06/2018|Secretarial Fee + Registered Office
233|266|SR|Fee|SecFee|12|840|14/06/2018|Secretarial Fee + Registered Office
234|267|SR|Fee|SecFee|12|840|19/06/2018|Secretarial Fee + Registered Office
237|270|SR|Fee|SecFee|12|840|14/07/2018|Secretarial Fee + Registered Office
238|271|SR|Fee|SecFee|12|840|23/08/2018|Secretarial Fee + Registered Office
156|185|SR|Fee|SecFee|12|840|03/02/2019|Secretarial Fee + Registered Office
235|268|SR|Fee|SecFee|12|840|15/02/2019|Secretarial Fee + Registered Office
179|209|SR|Fee|SecFee|12|840|17/02/2019|Secretarial Fee + Registered Office
149|177|SR|Fee|SecFee|12|840|20/02/2019|Secretarial Fee + Registered Office
144|169|SR|Fee|SecFee|12|840|20/02/2019|Secretarial Fee + Registered Office
137|162|SR|Fee|SecFee|12|840|23/02/2019|Secretarial Fee + Registered Office
232|265|SR|Fee|SecFee|12|840|01/03/2019|Secretarial Fee + Registered Office
224|257|SR|Fee|SecFee|12|840|05/03/2019|Secretarial Fee + Registered Office
129|152|SR|Fee|SecFee|12|840|06/03/2019|Secretarial Fee + Registered Office
690|462|SR|Fee|DR|6|4800|22/06/2018|Nominee Director Fee
210|243|SR|Fee|SecFee|12|840|14/03/2019|Secretarial Fee + Registered Office
140|165|SR|Fee|SecFee|12|840|21/03/2019|Secretarial Fee + Registered Office
142|167|SR|Fee|SecFee|12|840|23/03/2019|Secretarial Fee + Registered Office
214|247|SR|Fee|SecFee|12|840|27/03/2019|Secretarial Fee + Registered Office
199|229|SR|Fee|SecFee|12|840|29/03/2019|Secretarial Fee + Registered Office
123|144|SR|Fee|SecFee|12|840|31/03/2019|Secretarial Fee + Registered Office
182|212|SR|Fee|SecFee|12|840|31/03/2019|Secretarial Fee + Registered Office
121|142|SR|Fee|SecFee|12|840|31/03/2019|Secretarial Fee + Registered Office
143|168|SR|Fee|SecFee|12|840|01/04/2019|Secretarial Fee + Registered Office
118|139|SR|Fee|SecFee|12|840|04/04/2019|Secretarial Fee + Registered Office
218|251|SR|Fee|SecFee|12|840|05/04/2019|Secretarial Fee + Registered Office
116|137|SR|Fee|SecFee|12|840|05/04/2019|Secretarial Fee + Registered Office
134|159|SR|Fee|SecFee|12|840|06/04/2019|Secretarial Fee + Registered Office
172|202|SR|Fee|SecFee|12|840|18/04/2019|Secretarial Fee + Registered Office
209|239|SR|Fee|SecFee|12|840|24/04/2019|Secretarial Fee + Registered Office
120|141|SR|Fee|SecFee|12|840|25/04/2019|Secretarial Fee + Registered Office
147|172|SR|Fee|SecFee|12|840|09/05/2019|Secretarial Fee + Registered Office
131|154|SR|Fee|SecFee|12|840|10/05/2019|Secretarial Fee + Registered Office
128|150|SR|Fee|SecFee|12|840|13/05/2019|Secretarial Fee + Registered Office
178|208|SR|Fee|SecFee|12|840|14/05/2019|Secretarial Fee + Registered Office
241|274|SR|Fee|SecFee|12|840|13/06/2018|Secretarial Fee + Registered Office
243|276|SR|Fee|SecFee|12|840|27/06/2018|Secretarial Fee + Registered Office
244|277|SR|Fee|SecFee|12|840|11/05/2018|Secretarial Fee + Registered Office
245|278|SR|Fee|SecFee|12|840|01/06/2018|Secretarial Fee + Registered Office
166|195|SR|Fee|SecFee|12|840|22/10/2018|Secretarial Fee + Registered Office
251|284|SR|Fee|SecFee|12|840|20/06/2018|Secretarial Fee + Registered Office
252|285|SR|Fee|SecFee|12|840|31/07/2018|Secretarial Fee + Registered Office
260|293|SR|Fee|SecFee|12|840|06/09/2018|Secretarial Fee + Registered Office
263|296|SR|Fee|SecFee|12|840|31/07/2018|Secretarial Fee + Registered Office
264|297|SR|Fee|SecFee|12|840|13/07/2018|Secretarial Fee + Registered Office
249|282|SR|Fee|SecFee|12|840|03/12/2018|Secretarial Fee + Registered Office
250|283|SR|Fee|SecFee|12|840|16/09/2018|Secretarial Fee + Registered Office
261|294|SR|Fee|SecFee|12|840|31/10/2018|Secretarial Fee + Registered Office
267|300|SR|Fee|SecFee|12|840|15/09/2018|Secretarial Fee + Registered Office
259|292|SR|Fee|SecFee|12|840|10/01/2019|Secretarial Fee + Registered Office
271|304|SR|Fee|SecFee|12|840|13/01/2019|Secretarial Fee + Registered Office
253|286|SR|Fee|SecFee|12|840|12/06/2018|Secretarial Fee + Registered Office
254|287|SR|Fee|SecFee|12|840|27/08/2018|Secretarial Fee + Registered Office
268|301|SR|Fee|SecFee|12|840|29/05/2018|Secretarial Fee + Registered Office
325|360|SR|Fee|SecFee|12|840|04/01/2019|Secretarial Fee + Registered Office
272|305|SR|Fee|SecFee|12|840|22/08/2018|Secretarial Fee + Registered Office
273|306|SR|Fee|SecFee|12|840|02/06/2018|Secretarial Fee + Registered Office
274|307|SR|Fee|SecFee|12|840|17/07/2018|Secretarial Fee + Registered Office
288|322|SR|Fee|SecFee|12|840|10/01/2019|Secretarial Fee + Registered Office
282|315|SR|Fee|SecFee|12|840|14/06/2018|Secretarial Fee + Registered Office
284|317|SR|Fee|SecFee|12|840|14/07/2018|Secretarial Fee + Registered Office
290|325|SR|Fee|SecFee|12|840|12/07/2018|Secretarial Fee + Registered Office
293|328|SR|Fee|SecFee|12|840|06/09/2018|Secretarial Fee + Registered Office
294|329|SR|Fee|SecFee|12|840|01/06/2018|Secretarial Fee + Registered Office
295|330|SR|Fee|SecFee|12|840|09/08/2018|Secretarial Fee + Registered Office
297|332|SR|Fee|SecFee|12|840|18/08/2018|Secretarial Fee + Registered Office
298|333|SR|Fee|SecFee|12|840|28/05/2018|Secretarial Fee + Registered Office
299|334|SR|Fee|SecFee|12|840|29/05/2018|Secretarial Fee + Registered Office
300|335|SR|Fee|SecFee|12|840|31/05/2018|Secretarial Fee + Registered Office
292|327|SR|Fee|SecFee|12|840|11/01/2019|Secretarial Fee + Registered Office
692|773|SR|Fee|SecFee|12|840|23/11/2018|Secretarial Fee + Registered Office
262|295|SR|Fee|SecFee|12|840|10/01/2019|Secretarial Fee + Registered Office
285|319|SR|Fee|SecFee|12|840|23/01/2019|Secretarial Fee + Registered Office
309|344|SR|Fee|SecFee|12|840|11/08/2018|Secretarial Fee + Registered Office
313|348|SR|Fee|SecFee|12|840|09/06/2018|Secretarial Fee + Registered Office
315|350|SR|Fee|SecFee|12|840|30/05/2018|Secretarial Fee + Registered Office
317|352|SR|Fee|SecFee|12|840|15/08/2018|Secretarial Fee + Registered Office
319|354|SR|Fee|SecFee|12|840|23/05/2018|Secretarial Fee + Registered Office
321|356|SR|Fee|SecFee|12|840|29/07/2018|Secretarial Fee + Registered Office
322|357|SR|Fee|SecFee|12|840|01/09/2018|Secretarial Fee + Registered Office
327|362|SR|Fee|SecFee|12|840|06/09/2018|Secretarial Fee + Registered Office
328|363|SR|Fee|SecFee|12|840|02/09/2018|Secretarial Fee + Registered Office
332|367|SR|Fee|SecFee|12|840|15/06/2018|Secretarial Fee + Registered Office
333|368|SR|Fee|SecFee|12|840|11/07/2018|Secretarial Fee + Registered Office
258|291|SR|Fee|SecFee|12|840|27/01/2019|Secretarial Fee + Registered Office
286|320|SR|Fee|SecFee|12|840|05/02/2019|Secretarial Fee + Registered Office
296|331|SR|Fee|SecFee|12|840|07/02/2019|Secretarial Fee + Registered Office
270|303|SR|Fee|SecFee|12|840|01/03/2019|Secretarial Fee + Registered Office
283|316|SR|Fee|SecFee|12|840|04/03/2019|Secretarial Fee + Registered Office
265|298|SR|Fee|SecFee|12|840|12/03/2019|Secretarial Fee + Registered Office
19|27|SR|Fee|SecFee|12|840|11/12/2015|Secretarial Fee + Registered Office
691|772|SR|Fee|SecFee|12|840|13/01/2019|Secretarial Fee + Registered Office
247|280|SR|Fee|SecFee|12|840|13/03/2019|Secretarial Fee + Registered Office
305|340|SR|Fee|SecFee|12|840|14/03/2019|Secretarial Fee + Registered Office
329|364|SR|Fee|SecFee|12|840|14/03/2019|Secretarial Fee + Registered Office
279|312|SR|Fee|SecFee|12|840|01/04/2019|Secretarial Fee + Registered Office
266|299|SR|Fee|SecFee|12|840|16/03/2020|Secretarial Fee + Registered Office
291|326|SR|Fee|SecFee|12|840|02/04/2019|Secretarial Fee + Registered Office
239|272|SR|Fee|SecFee|12|840|03/04/2019|Secretarial Fee + Registered Office
318|353|SR|Fee|SecFee|12|840|03/04/2019|Secretarial Fee + Registered Office
330|365|SR|Fee|SecFee|12|840|06/04/2019|Secretarial Fee + Registered Office
275|308|SR|Fee|SecFee|12|840|07/04/2019|Secretarial Fee + Registered Office
255|288|SR|Fee|SecFee|12|840|07/04/2019|Secretarial Fee + Registered Office
326|361|SR|Fee|SecFee|12|840|12/04/2019|Secretarial Fee + Registered Office
303|338|SR|Fee|SecFee|12|840|20/04/2019|Secretarial Fee + Registered Office
324|359|SR|Fee|SecFee|12|840|23/04/2019|Secretarial Fee + Registered Office
287|321|SR|Fee|SecFee|12|840|28/04/2019|Secretarial Fee + Registered Office
307|342|SR|Fee|SecFee|12|840|05/05/2019|Secretarial Fee + Registered Office
281|314|SR|Fee|SecFee|12|1200|07/05/2019|Secretarial Fee + Registered Office
308|343|SR|Fee|SecFee|12|840|14/05/2019|Secretarial Fee + Registered Office
337|372|SR|Fee|SecFee|12|840|04/05/2018|Secretarial Fee + Registered Office
338|373|SR|Fee|SecFee|12|840|27/07/2018|Secretarial Fee + Registered Office
341|376|SR|Fee|SecFee|12|840|21/07/2018|Secretarial Fee + Registered Office
342|377|SR|Fee|SecFee|12|840|20/06/2018|Secretarial Fee + Registered Office
248|281|SR|Fee|SecFee|12|840|25/09/2018|Secretarial Fee + Registered Office
343|378|SR|Fee|SecFee|12|840|20/06/2018|Secretarial Fee + Registered Office
41|50|SR|Fee|SecFee|12|840|01/01/2019|Secretarial Fee + Registered Office
693|770|SR|Fee|SecFee|12|840|08/01/2019|Secretarial Fee + Registered Office
345|380|SR|Fee|SecFee|12|840|05/01/2019|Secretarial Fee + Registered Office
364|400|SR|Fee|SecFee|12|840|08/01/2019|Secretarial Fee + Registered Office
349|385|SR|Fee|SecFee|12|840|22/08/2018|Secretarial Fee + Registered Office
424|460|SR|Fee|SecFee|12|840|10/01/2019|Secretarial Fee + Registered Office
694|774|SR|Fee|SecFee|12|840|18/08/2018|Secretarial Fee + Registered Office
356|392|SR|Fee|SecFee|12|840|05/09/2018|Secretarial Fee + Registered Office
363|399|SR|Fee|SecFee|12|840|12/01/2019|Secretarial Fee + Registered Office
400|436|SR|Fee|SecFee|12|840|20/01/2019|Secretarial Fee + Registered Office
383|419|SR|Fee|SecFee|12|840|20/01/2019|Secretarial Fee + Registered Office
362|398|SR|Fee|SecFee|12|840|09/06/2018|Secretarial Fee + Registered Office
367|403|SR|Fee|SecFee|12|840|16/05/2018|Secretarial Fee + Registered Office
368|404|SR|Fee|SecFee|12|840|15/08/2018|Secretarial Fee + Registered Office
371|407|SR|Fee|SecFee|12|840|06/08/2018|Secretarial Fee + Registered Office
373|409|SR|Fee|SecFee|12|840|10/06/2018|Secretarial Fee + Registered Office
374|410|SR|Fee|SecFee|12|840|18/06/2018|Secretarial Fee + Registered Office
376|412|SR|Fee|SecFee|12|840|23/05/2018|Secretarial Fee + Registered Office
380|416|SR|Fee|SecFee|12|840|13/07/2018|Secretarial Fee + Registered Office
382|418|SR|Fee|SecFee|12|840|21/04/2018|Secretarial Fee + Registered Office
386|422|SR|Fee|SecFee|12|840|09/09/2018|Secretarial Fee + Registered Office
391|427|SR|Fee|SecFee|12|840|15/07/2018|Secretarial Fee + Registered Office
392|428|SR|Fee|SecFee|12|840|17/08/2018|Secretarial Fee + Registered Office
393|429|SR|Fee|SecFee|12|840|22/06/2018|Secretarial Fee + Registered Office
395|431|SR|Fee|SecFee|12|840|24/08/2018|Secretarial Fee + Registered Office
399|435|SR|Fee|SecFee|12|840|16/07/2018|Secretarial Fee + Registered Office
401|437|SR|Fee|SecFee|12|840|28/05/2018|Secretarial Fee + Registered Office
402|438|SR|Fee|SecFee|12|840|04/08/2018|Secretarial Fee + Registered Office
405|441|SR|Fee|SecFee|12|840|29/07/2018|Secretarial Fee + Registered Office
408|444|SR|Fee|SecFee|12|840|03/06/2018|Secretarial Fee + Registered Office
409|445|SR|Fee|SecFee|12|840|01/07/2018|Secretarial Fee + Registered Office
410|446|SR|Fee|SecFee|12|840|02/07/2018|Secretarial Fee + Registered Office
411|447|SR|Fee|SecFee|12|840|07/06/2018|Secretarial Fee + Registered Office
413|449|SR|Fee|SecFee|12|840|24/06/2018|Secretarial Fee + Registered Office
415|451|SR|Fee|SecFee|12|840|26/08/2018|Secretarial Fee + Registered Office
420|456|SR|Fee|SecFee|12|840|31/08/2018|Secretarial Fee + Registered Office
426|462|SR|Fee|SecFee|12|840|19/06/2018|Secretarial Fee + Registered Office
430|466|SR|Fee|SecFee|12|840|15/08/2018|Secretarial Fee + Registered Office
428|464|SR|Fee|SecFee|12|840|14/12/2018|Secretarial Fee + Registered Office
429|465|SR|Fee|SecFee|12|840|24/10/2018|Secretarial Fee + Registered Office
432|468|SR|Fee|SecFee|12|840|16/01/2019|Secretarial Fee + Registered Office
427|463|SR|Fee|SecFee|12|840|21/05/2018|Secretarial Fee + Registered Office
431|467|SR|Fee|SecFee|12|840|22/06/2018|Secretarial Fee + Registered Office
